id_espaco,rua,tipo_ibge,lat,lon,nome_estab
IBGE-280216,"RUA DIVINA PASTORA, 774",Residencial,-10.909197,-37.056356,
IBGE-280217,"RUA DIVINA PASTORA, 782",Misto/Outros,-10.909228,-37.056419,CASA LAR
IBGE-280217,"RUA DIVINA PASTORA, 782",Loja/Comércio/Serviço,-10.909228,-37.056419,CASA LAR 3
IBGE-280218,"RUA DIVINA PASTORA, 782",Residencial,-10.90928,-37.056493,
IBGE-280219,"RUA DIVINA PASTORA, 782",Residencial,-10.909282,-37.056357,
IBGE-280223,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280222,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280221,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280220,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280227,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280226,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280225,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280224,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280231,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280230,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280229,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280228,"RUA DIVINA PASTORA, 792",Residencial,-10.909075,-37.056537,
IBGE-280232,"RUA DIVINA PASTORA, 802",Loja/Comércio/Serviço,-10.909201,-37.056632,EMPRESA
IBGE-280233,"RUA DIVINA PASTORA, 806",Residencial,-10.909242,-37.056713,
IBGE-280234,"RUA DIVINA PASTORA, 816",Residencial,-10.909282,-37.05677,
IBGE-280235,"RUA DIVINA PASTORA, 816",Loja/Comércio/Serviço,-10.909248,-37.056807,PRO COOPER TECH
IBGE-280236,"RUA DIVINA PASTORA, 828",Residencial,-10.909295,-37.056847,
IBGE-280237,"RUA DIVINA PASTORA, 836",Residencial,-10.909339,-37.056784,
IBGE-280238,"RUA DIVINA PASTORA, 838",Galpão/Ruína/Obra,-10.909186,-37.057017,
